step,lane,answer_ce,answer_acc,tail_gate,fill_gate
25,exact,7.70743,0,0,0
25,kimi,8.10177,0,0,0
25,srd,8.21912,0,0.930475,0.918865
25,srd_f,8.18935,0,0.921705,0.923831
50,exact,5.34314,0,0,0
50,kimi,7.26501,0,0,0
50,srd,5.60102,0,0.949056,0.893203
50,srd_f,5.12734,0,0.918486,0.915481
75,exact,5.15629,0,0,0
75,kimi,5.46697,0,0,0
75,srd,5.19004,0,0.955611,0.810929
75,srd_f,5.74339,0,0.884717,0.884879
100,exact,4.99669,0,0,0
100,kimi,5.60035,0,0,0
100,srd,5.00016,0,0.951443,0.755258
100,srd_f,4.9439,0,0.870447,0.869444
125,exact,5.0037,0,0,0
125,kimi,5.00893,0,0,0
125,srd,5.03553,0,0.949613,0.716028
125,srd_f,5.06896,0,0.873041,0.869864
150,exact,5.00027,0.03125,0,0
150,kimi,4.95685,0,0,0
150,srd,4.99168,0,0.946609,0.635796
150,srd_f,4.98311,0,0.870351,0.864198
175,exact,4.87772,0.03125,0,0
175,kimi,4.40035,0,0,0
175,srd,4.94067,0,0.944884,0.562056
175,srd_f,4.92313,0,0.825851,0.825066
200,exact,4.90674,0,0,0
200,kimi,4.54281,0.03125,0,0
200,srd,4.88107,0,0.941904,0.505815
200,srd_f,4.92392,0,0.815145,0.806562
225,exact,4.9411,0,0,0
225,kimi,4.42007,0.03125,0,0
225,srd,4.96263,0,0.935468,0.89598
225,srd_f,4.96297,0,0.80918,0.79919
250,exact,5.02652,0,0,0
250,kimi,4.45182,0,0,0
250,srd,5.1355,0,0.952324,0.762213
250,srd_f,5.09303,0,0.799977,0.793636
275,exact,4.83814,0.0625,0,0
275,kimi,4.16754,0.0625,0,0
275,srd,4.93122,0.0625,0.930066,0.560857
275,srd_f,4.88472,0.03125,0.788979,0.792226
300,exact,5.04631,0.0625,0,0
300,kimi,4.35018,0.03125,0,0
300,srd,4.93903,0,0.940414,0.442846
300,srd_f,4.94688,0,0.826305,0.823868
325,exact,4.59115,0,0,0
325,kimi,4.42193,0,0,0
325,srd,4.99159,0,0.939294,0.396835
325,srd_f,5.01352,0,0.768285,0.769027
350,exact,4.3923,0,0,0
350,kimi,4.34505,0,0,0
350,srd,4.91458,0,0.93721,0.369189
350,srd_f,5.0746,0,0.758353,0.747933
375,exact,4.54788,0,0,0
375,kimi,4.35244,0.03125,0,0
375,srd,4.9794,0,0.935183,0.348018
375,srd_f,4.65562,0,0.78527,0.777846
400,exact,4.4175,0,0,0
400,kimi,4.38417,0,0,0
400,srd,4.9677,0.03125,0.926804,0.344568
400,srd_f,4.52323,0,0.799403,0.793824
425,exact,4.53752,0.03125,0,0
425,kimi,4.46596,0.03125,0,0
425,srd,4.99845,0.03125,0.921856,0.32958
425,srd_f,4.624,0.03125,0.747385,0.750089
450,exact,4.50938,0,0,0
450,kimi,4.45107,0.03125,0,0
