step,exact,kimi,srd,srd_f
1,5.55863,5.56059,5.55876,5.55876
2,5.50645,5.50966,5.50626,5.50622
3,5.4358,5.43847,5.43592,5.43595
4,5.43083,5.43195,5.43121,5.43122
5,5.34941,5.34788,5.35032,5.35033
6,5.37537,5.37154,5.37549,5.37551
7,5.33331,5.33418,5.33318,5.33317
8,5.37906,5.37967,5.37947,5.37927
9,5.28999,5.29595,5.29339,5.29256
10,5.16997,5.23617,5.16061,5.16107
11,5.176,5.27061,5.21632,5.11352
12,5.15121,5.113,5.10672,5.16043
13,5.12454,5.16641,5.12552,5.20304
14,5.16706,5.18695,5.12194,5.1493
15,5.08808,5.06341,5.0104,5.04248
16,5.07007,5.10961,5.06855,5.0403
17,4.9823,4.98289,4.95009,4.97256
18,5.04004,5.03198,5.02849,5.01368
19,5.00599,5.00112,5.00359,4.96642
20,5.07026,5.09229,5.02598,5.03596
21,5.09027,5.00337,4.99666,4.99786
22,4.99417,4.9506,4.93308,4.96843
23,5.05427,5.0464,5.07587,5.05482
24,4.95714,4.99852,4.96483,4.94404
25,5.01003,4.97616,5.00023,5.03627
26,5.16982,5.03733,5.01999,5.06669
27,5.09517,5.04998,5.06269,5.06902
28,5.01469,4.94029,4.96631,4.99188
29,5.08544,5.00533,4.98827,4.99778
30,4.94404,4.90477,4.89198,4.91376
31,4.90445,4.94656,4.90599,5.01298
32,5.0481,5.02259,5.00195,5.04061
33,5.00217,4.97902,4.98482,5.076
34,5.01677,4.99193,4.99551,5.12094
35,5.02673,5.03907,5.06411,5.12163
36,4.97101,4.95295,4.9807,5.08939
37,4.94617,4.95783,4.94647,5.0199
38,4.89996,4.96304,4.98342,5.0048
39,4.94198,4.96586,4.98193,5.00947
40,4.93546,4.9639,4.97046,5.0123
41,4.91527,4.95909,4.98105,5.01906
42,4.9151,4.95589,4.98128,5.0676
43,4.96649,4.91134,4.90035,5.0046
44,4.9683,4.94627,4.9485,4.94539
45,4.91071,4.8996,4.8998,4.93214
46,4.90239,4.91841,4.93126,4.92197
47,4.93272,4.94405,4.95484,4.92647
48,4.88084,4.90502,4.92328,4.97326
49,4.88974,4.89846,4.90177,4.89461
50,4.92156,4.87549,4.86763,4.95203
51,4.90723,4.92445,4.91372,4.95164
52,4.90999,4.84291,4.89744,4.89241
53,4.9938,4.95651,4.96721,4.99333
54,4.90527,4.8655,4.85484,4.91558
55,4.89369,4.88414,4.87321,4.94647
56,4.88511,4.88598,4.94871,4.97768
57,4.90542,4.8654,4.91852,4.93002
58,4.88046,4.8792,4.90909,4.86371
59,4.88328,4.86012,4.87274,4.86646
60,4.88126,4.90472,4.97224,4.88
61,4.8892,4.95038,4.9617,4.92737
62,4.92096,4.93478,4.96145,4.93569
63,4.89982,4.88096,4.95614,4.85759
64,4.89699,4.92887,4.95946,4.91941
65,4.88298,4.91508,4.97739,4.94477
66,4.91639,4.8845,4.98638,5.01643
67,4.91545,4.86487,4.91163,4.9614
68,4.90114,4.86354,4.90017,4.89561
69,4.91149,4.90906,4.93549,4.94051
70,4.83056,4.8396,4.82444,4.94731
71,4.83199,4.89568,4.83142,4.90865
72,4.81067,4.80368,4.83625,4.86008
73,4.84593,4.83922,4.84967,4.87384
74,4.90011,4.8621,4.88035,4.93075
75,4.9166,4.90144,4.89602,4.95841
76,4.86357,4.89359,4.87579,4.87862
77,4.90715,4.90298,4.86728,4.93244
78,4.85722,4.89214,4.86539,4.9057
79,4.90197,4.88597,4.93973,4.89821
80,4.86762,4.86512,4.85169,4.89082
81,4.83718,4.90165,4.89902,4.85535
82,4.875,4.8886,4.87272,4.85162
