step,lane,answer_ce,answer_acc,tail_gate,fill_gate
25,exact,5.11016,0,0,0
25,kimi,9.14742,0,0,0
25,srd,5.22772,0,0.946107,0.918763
25,srd_f,6.37345,0,0.933096,0.933292
50,exact,5.28654,0,0,0
50,kimi,5.13818,0,0,0
50,srd,4.87041,0,0.968038,0.861925
50,srd_f,5.20057,0,0.903625,0.901704
75,exact,4.95192,0.0625,0,0
75,kimi,4.85059,0,0,0
75,srd,4.91667,0,0.958368,0.789515
75,srd_f,4.91105,0.0625,0.879352,0.88017
100,exact,4.92952,0,0,0
100,kimi,4.61945,0,0,0
100,srd,4.92916,0,0.951856,0.700225
100,srd_f,4.93528,0,0.860197,0.860281
125,exact,4.89939,0,0,0
125,kimi,4.38842,0,0,0
125,srd,4.88956,0,0.94661,0.577844
125,srd_f,4.91543,0,0.839767,0.841382
150,exact,4.42161,0.0625,0,0
150,kimi,4.21284,0,0,0
150,srd,4.51466,0,0.937682,0.483072
150,srd_f,4.81753,0,0.831822,0.826465
175,exact,4.36983,0,0,0
175,kimi,4.33811,0,0,0
175,srd,4.37594,0.03125,0.93326,0.41213
175,srd_f,4.70908,0.03125,0.807144,0.808611
200,exact,4.22099,0,0,0
200,kimi,4.18883,0,0,0
200,srd,4.20245,0,0.926435,0.366209
200,srd_f,4.25681,0,0.839004,0.838776
225,exact,4.31549,0.03125,0,0
225,kimi,4.28503,0.03125,0,0
225,srd,4.29166,0.03125,0.920436,0.340146
225,srd_f,4.33805,0.03125,0.797283,0.804357
250,exact,4.42983,0,0,0
250,kimi,4.43018,0,0,0
250,srd,4.4137,0,0.916223,0.324638
250,srd_f,4.39873,0,0.770631,0.775196
275,exact,4.18804,0,0,0
275,kimi,4.16897,0,0,0
275,srd,4.16696,0,0.904227,0.323215
275,srd_f,4.19611,0.0625,0.752085,0.760305
300,exact,4.25293,0,0,0
300,kimi,4.24289,0.03125,0,0
300,srd,4.24509,0.0625,0.899313,0.309491
300,srd_f,4.2652,0.03125,0.752252,0.74957
325,exact,4.51362,0,0,0
325,kimi,4.3468,0,0,0
325,srd,4.32176,0,0.884423,0.322753
325,srd_f,4.34036,0,0.735751,0.742192
350,exact,4.22764,0,0,0
350,kimi,4.21712,0.03125,0,0
350,srd,4.20931,0.03125,0.874243,0.302287
350,srd_f,4.22243,0.03125,0.723141,0.737062
375,exact,4.20212,0.03125,0,0
375,kimi,4.18536,0.03125,0,0
375,srd,4.20397,0.03125,0.868428,0.305581
375,srd_f,4.19507,0.03125,0.730417,0.731282
400,exact,4.29755,0.0625,0,0
400,kimi,4.30142,0,0,0
400,srd,4.29121,0.0625,0.858317,0.300689
400,srd_f,4.30062,0,0.723527,0.728058
425,exact,4.21503,0.03125,0,0
425,kimi,4.19902,0.03125,0,0
425,srd,4.20506,0.03125,0.837416,0.292777
425,srd_f,4.2064,0.03125,0.71366,0.72307
450,exact,4.36711,0,0,0
450,kimi,4.35815,0,0,0
450,srd,4.34624,0,0.812745,0.290516
450,srd_f,4.37076,0,0.727241,0.71885
475,exact,4.22233,0.03125,0,0
475,kimi,4.22178,0,0,0
475,srd,4.21343,0.03125,0.78612,0.291732
475,srd_f,4.22197,0.03125,0.706463,0.716054
500,exact,4.32526,0,0,0
500,kimi,4.31857,0,0,0
500,srd,4.42149,0,0.770267,0.363576
500,srd_f,4.32122,0,0.706208,0.715057
525,exact,4.25967,0.03125,0,0
525,kimi,4.26645,0.03125,0,0
525,srd,4.28025,0.03125,0.759949,0.294454
525,srd_f,4.2599,0.03125,0.702614,0.711026
550,exact,4.31682,0,0,0
550,kimi,4.31532,0,0,0
550,srd,4.33601,0,0.74,0.287056
550,srd_f,4.32031,0,0.713853,0.709765
575,exact,4.2121,0,0,0
575,kimi,4.21649,0,0,0
575,srd,4.21268,0,0.720396,0.286767
575,srd_f,4.21229,0.03125,0.717176,0.707105
600,exact,4.23963,0,0,0
600,kimi,4.23047,0,0,0
600,srd,4.20786,0,0.700092,0.28582
600,srd_f,4.22984,0,0.705596,0.70489
625,exact,4.21773,0.03125,0,0
625,kimi,4.21685,0.03125,0,0
625,srd,4.21664,0.03125,0.675666,0.286828
625,srd_f,4.2098,0.03125,0.733425,0.730727
650,exact,4.30039,0.03125,0,0
650,kimi,4.29652,0.0625,0,0
650,srd,4.3052,0.0625,0.660972,0.283545
650,srd_f,4.31233,0.0625,0.712924,0.711942
675,exact,4.21661,0,0,0
675,kimi,4.20868,0,0,0
675,srd,4.19648,0,0.656298,0.285408
675,srd_f,4.2141,0,0.707648,0.701322
700,exact,4.14176,0.03125,0,0
700,kimi,4.13884,0.03125,0,0
700,srd,4.13004,0.03125,0.625461,0.284841
700,srd_f,4.13383,0.03125,0.720323,0.702881
725,exact,4.18132,0,0,0
725,kimi,4.19943,0,0,0
725,srd,4.19583,0,0.594154,0.283473
725,srd_f,4.19867,0,0.702651,0.695581
750,exact,4.30979,0.03125,0,0
750,kimi,4.18238,0,0,0
750,srd,4.19002,0,0.578622,0.283963
