step,exact,kimi,srd,srd_f
1,5.55819,5.5596,5.55826,5.55826
2,5.47101,5.47394,5.47084,5.47083
3,5.38502,5.38532,5.38521,5.38521
4,5.30942,5.29714,5.30967,5.30965
5,5.18366,5.16714,5.18701,5.18688
6,5.34347,5.09198,5.3055,5.3074
7,5.08558,5.10338,5.07925,5.07976
8,5.05827,4.98659,5.06331,5.06206
9,5.03488,4.97882,5.04058,5.03966
10,4.99805,4.9753,5.00026,4.99804
11,4.97102,4.94855,4.95908,4.9629
12,4.9661,4.95399,4.98749,4.97603
13,4.97538,5.01639,5.00007,4.96757
14,4.97909,5.00267,4.95739,4.95256
15,4.96193,4.96404,4.94854,4.94899
16,4.94395,4.93461,4.94001,4.94169
17,4.93956,4.9386,4.93738,4.93821
18,4.90582,4.92217,4.90485,4.89015
19,4.93129,4.98884,4.92095,4.91933
20,4.94849,4.95358,4.93365,5.00585
21,4.88709,4.97754,4.88939,4.952
22,4.91196,4.9703,4.90781,4.93497
23,4.88646,4.92602,4.88557,4.88362
24,4.92833,4.94803,4.86526,4.87604
25,4.91298,4.93643,4.84845,4.87124
26,4.85091,4.92416,4.83418,4.84472
27,4.85549,4.92175,4.85344,4.85356
28,4.82597,4.90258,4.82011,4.83042
29,4.85231,4.93393,4.85463,4.85564
30,4.81055,4.89565,4.79179,4.80973
31,4.83195,4.91073,4.82483,4.82979
32,4.84216,4.91717,4.82966,4.8505
33,4.81613,4.90566,4.81068,4.83024
34,4.85053,4.92078,4.84168,4.85368
35,4.83598,4.9084,4.82999,4.84456
36,4.83699,4.88146,4.82273,4.84173
37,4.82308,4.86305,4.80828,4.84595
38,4.82098,4.85051,4.81615,4.86004
39,4.81824,4.84605,4.81614,4.85331
40,4.84611,4.8561,4.83541,4.8891
41,4.83217,4.84542,4.82332,4.83739
42,4.84598,4.82631,4.81194,4.83492
43,4.85249,4.81714,4.80757,4.82751
44,4.83154,4.81914,4.80923,4.8339
45,4.80643,4.8113,4.79378,4.83144
46,4.84095,4.80941,4.80135,4.81953
47,4.83848,4.81712,4.81016,4.83186
48,4.80772,4.79375,4.79304,4.805
49,4.81811,4.81865,4.80044,4.82821
50,4.8359,4.82962,4.82403,4.84068
51,4.83791,4.82347,4.81034,4.83333
52,4.82019,4.82282,4.80346,4.81277
53,4.82326,4.82364,4.81237,4.86479
54,4.81841,4.8112,4.80116,4.81541
55,4.82017,4.81233,4.81144,4.80973
56,4.82046,4.82568,4.80631,4.83368
57,4.82475,4.81318,4.80436,4.82227
58,4.85468,4.84771,4.83906,4.89773
59,4.86603,4.83903,4.84435,4.88081
60,4.83087,4.82189,4.81415,4.84343
61,4.82607,4.79523,4.79967,4.81961
62,4.82545,4.80099,4.80117,4.824
63,4.81949,4.80456,4.81025,4.81778
64,4.82962,4.81683,4.81205,4.85965
65,4.82194,4.79821,4.79331,4.8083
66,4.8201,4.80526,4.80856,4.81756
67,4.79901,4.79397,4.805,4.80941
68,4.81255,4.79633,4.80503,4.81001
69,4.82116,4.82057,4.82861,4.8307
70,4.804,4.80147,4.80544,4.80661
71,4.79751,4.80663,4.79635,4.79859
72,4.8216,4.81793,4.81838,4.82278
73,4.79202,4.7946,4.78756,4.8048
74,4.8201,4.81301,4.81449,4.81288
75,4.80388,4.80566,4.80746,4.82079
76,4.80395,4.80064,4.80245,4.80668
77,4.78937,4.78898,4.78637,4.79539
78,4.80893,4.80146,4.8061,4.80928
79,4.8181,4.81509,4.81406,4.81577
80,4.82859,4.82373,4.82026,4.83223
81,4.82433,4.82011,4.82282,4.82616
82,4.85402,4.83811,4.84598,4.8445
83,4.81618,4.80641,4.80802,4.81058
84,4.80327,4.79976,4.80332,4.81306
85,4.79666,4.79101,4.79544,4.79974
86,4.82225,4.8088,4.81353,4.82413
87,4.79242,4.77946,4.79659,4.80378
88,4.81852,4.8003,4.80658,4.81012
89,4.8088,4.78799,4.80638,4.80251
90,4.79627,4.78206,4.79377,4.79459
91,4.802,4.78841,4.79717,4.7968
92,4.77648,4.75583,4.7813,4.77365
93,4.80916,4.77116,4.79415,4.7979
94,4.77878,4.74852,4.78356,4.78157
95,4.82946,4.79524,4.82633,4.82286
96,4.81294,4.77735,4.80966,4.81066
97,4.80102,4.75845,4.80271,4.80099
98,4.78602,4.75382,4.80104,4.79006
99,4.79784,4.75624,4.80035,4.80285
100,4.80637,4.75265,4.81987,4.81008
101,4.81644,4.73482,4.8096,4.8128
102,4.78509,4.71974,4.78777,4.78699
103,4.79597,4.7304,4.79939,4.80004
104,4.82288,4.75039,4.82146,4.82361
105,4.8048,4.73506,4.80211,4.80415
106,4.79588,4.7227,4.79441,4.79505
107,4.8171,4.74083,4.814,4.81828
108,4.80163,4.71524,4.789,4.79129
109,4.81588,4.73486,4.81196,4.81237
110,4.81955,4.7463,4.81556,4.81877
111,4.80572,4.70065,4.78392,4.7863
112,4.81989,4.70874,4.79276,4.79496
113,4.80382,4.72309,4.79989,4.7959
114,4.82042,4.7427,4.81583,4.82013
115,4.79769,4.71537,4.79844,4.80891
116,4.81062,4.72762,4.80087,4.80104
117,4.80387,4.71656,4.80282,4.80476
118,4.82553,4.73067,4.81464,4.81677
119,4.8149,4.72546,4.8104,4.81138
120,4.8103,4.72842,4.81539,4.81347
121,4.78687,4.69468,4.78528,4.79731
122,4.77866,4.69771,4.78172,4.78134
123,4.80382,4.7219,4.80259,4.80081
124,4.78349,4.70579,4.7875,4.78668
125,4.81677,4.72791,4.80413,4.80775
126,4.78828,4.7067,4.79203,4.79126
127,4.79052,4.70173,4.7786,4.78264
128,4.83485,4.75505,4.82109,4.82551
129,4.8112,4.73421,4.81039,4.8209
130,4.80658,4.72126,4.79786,4.8178
131,4.8192,4.72154,4.8018,4.80606
132,4.82039,4.73483,4.81286,4.81457
133,4.79073,4.70451,4.7918,4.80742
134,4.79162,4.70838,4.79924,4.8025
135,4.79595,4.70525,4.78619,4.79246
136,4.76259,4.6911,4.77374,4.77787
137,4.77055,4.70142,4.78107,4.79048
138,4.78648,4.72292,4.79796,4.80585
139,4.76438,4.69301,4.78185,4.78662
140,4.76199,4.71107,4.78236,4.81015
141,4.75221,4.70921,4.78658,4.79649
142,4.75731,4.70853,4.78064,4.82376
143,4.77576,4.73708,4.81628,4.81426
144,4.74717,4.69984,4.77562,4.82228
145,4.76411,4.73579,4.79362,4.81335
146,4.74473,4.70693,4.76489,4.79034
147,4.75723,4.73438,4.77673,4.80463
148,4.73808,4.71931,4.74612,4.83514
149,4.75523,4.72997,4.77784,4.81252
150,4.73386,4.69223,4.7317,4.79689
151,4.75235,4.72762,4.76149,4.81741
152,4.73503,4.7078,4.73245,4.80086
153,4.76107,4.71993,4.75284,4.81326
154,4.74882,4.72558,4.75464,4.81756
155,4.74489,4.71587,4.73915,4.80853
156,4.72671,4.69567,4.72025,4.80605
157,4.72348,4.70068,4.71414,4.79672
158,4.71451,4.68973,4.70553,4.79663
159,4.73213,4.72107,4.73461,4.79637
160,4.73242,4.71123,4.73102,4.7964
161,4.73022,4.71773,4.72897,4.79817
162,4.71364,4.69516,4.70208,4.77224
163,4.72497,4.71075,4.72765,4.79073
164,4.71016,4.69986,4.70949,4.77576
165,4.71916,4.7093,4.71879,4.79572
166,4.75504,4.74904,4.75302,4.81906
167,4.71651,4.70948,4.71409,4.81099
168,4.74149,4.73238,4.7388,4.82085
169,4.72953,4.72563,4.72775,4.79951
170,4.70609,4.69234,4.70083,4.78883
171,4.71329,4.70928,4.70865,4.79661
172,4.7121,4.70713,4.71295,4.77905
173,4.72596,4.72449,4.719,4.78882
174,4.70361,4.69957,4.70228,4.77129
175,4.71817,4.70308,4.69936,4.76692
176,4.72453,4.71093,4.71668,4.78362
177,4.72821,4.71494,4.72616,4.78627
178,4.69597,4.68863,4.69557,4.76381
179,4.72427,4.7082,4.71447,4.77837
180,4.72665,4.72091,4.72708,4.77619
181,4.69234,4.68588,4.69816,4.75152
182,4.70806,4.70293,4.70824,4.76958
183,4.70838,4.70772,4.71275,4.77229
184,4.68708,4.68583,4.69494,4.74495
185,4.72399,4.72538,4.72355,4.76443
186,4.71466,4.70509,4.71453,4.7439
187,4.72117,4.71081,4.72062,4.73696
188,4.71158,4.70597,4.71074,4.73372
189,4.68707,4.67699,4.68571,4.71227
190,4.70788,4.71138,4.71288,4.71992
191,4.68638,4.69194,4.68873,4.71252
192,4.70887,4.7154,4.71319,4.74168
193,4.71152,4.70829,4.71052,4.71524
194,4.71197,4.7166,4.71595,4.71771
195,4.70652,4.7,4.70125,4.69924
196,4.70259,4.69567,4.70468,4.71137
197,4.70997,4.70268,4.70983,4.72337
198,4.70595,4.7029,4.7033,4.71062
199,4.70411,4.69431,4.70518,4.71477
200,4.70072,4.68989,4.69512,4.70821
201,4.73218,4.71624,4.71576,4.72415
202,4.70738,4.6989,4.70446,4.72143
203,4.69714,4.69133,4.69516,4.7058
204,4.69874,4.70021,4.70066,4.70723
205,4.72504,4.72309,4.72507,4.73977
206,4.68876,4.69023,4.69072,4.69161
207,4.71033,4.70654,4.71186,4.72698
208,4.67833,4.6726,4.67135,4.68043
209,4.71219,4.70596,4.7061,4.71131
210,4.69425,4.69069,4.69382,4.7028
211,4.71526,4.70682,4.71366,4.72073
212,4.71558,4.71116,4.7153,4.71238
213,4.72069,4.70654,4.71279,4.73072
214,4.71419,4.70729,4.71147,4.7145
215,4.70715,4.70635,4.70647,4.70658
216,4.71082,4.70137,4.70763,4.72027
217,4.72716,4.72281,4.72602,4.73836
218,4.70513,4.7011,4.70719,4.71155
219,4.69599,4.69564,4.69855,4.70348
220,4.70372,4.705,4.70652,4.7211
221,4.69169,4.68723,4.69112,4.71464
222,4.70716,4.68738,4.69215,4.70371
223,4.69843,4.69968,4.69912,4.69834
224,4.7119,4.71055,4.71282,4.7343
225,4.6782,4.67339,4.6776,4.67942
226,4.69493,4.69458,4.69559,4.69659
227,4.71755,4.71227,4.7132,4.71417
228,4.70588,4.69779,4.70418,4.71589
229,4.70732,4.70575,4.71009,4.71753
230,4.70192,4.70067,4.6999,4.70447
231,4.6863,4.68456,4.68714,4.69268
232,4.7268,4.72156,4.72427,4.73129
233,4.69394,4.69044,4.6934,4.69419
234,4.70521,4.69772,4.70426,4.71798
235,4.67396,4.67108,4.67072,4.67846
236,4.69586,4.68848,4.69346,4.70292
237,4.71495,4.71361,4.71396,4.71764
238,4.69419,4.69249,4.69487,4.69932
239,4.7053,4.70145,4.70722,4.70747
240,4.70475,4.70394,4.70414,4.70627
241,4.69526,4.69409,4.69642,4.69863
242,4.71439,4.71258,4.71087,4.71095
243,4.69071,4.68889,4.68978,4.69501
244,4.69582,4.69271,4.69536,4.69299
245,4.71384,4.70914,4.70996,4.72868
246,4.73041,4.73182,4.72927,4.72789
247,4.6772,4.67893,4.67831,4.68208
248,4.66783,4.66403,4.66829,4.67396
249,4.70336,4.69889,4.70263,4.70707
250,4.71115,4.70236,4.7033,4.70379
251,4.68721,4.68439,4.68838,4.68922
252,4.68445,4.68389,4.6853,4.68675
253,4.70937,4.70868,4.71232,4.71276
254,4.70636,4.69927,4.70193,4.7043
255,4.70144,4.695,4.6983,4.70632
256,4.71345,4.7,4.69824,4.69886
257,4.70208,4.69816,4.70173,4.70706
258,4.70432,4.70093,4.70325,4.70675
259,4.70083,4.69545,4.69581,4.69838
260,4.68724,4.68365,4.68493,4.69107
261,4.72307,4.7216,4.71945,4.72497
262,4.69159,4.68667,4.68716,4.69253
263,4.69399,4.69404,4.69418,4.70014
264,4.67796,4.67254,4.67661,4.6895
265,4.69777,4.69719,4.69479,4.69867
266,4.69704,4.69687,4.69451,4.69823
267,4.68903,4.68471,4.68439,4.69477
268,4.71162,4.70553,4.7074,4.71134
269,4.70235,4.70331,4.70608,4.70641
270,4.69535,4.69464,4.69648,4.69906
