step,lane,answer_ce,answer_acc,tail_gate,fill_gate
25,exact,9.39617,0,0,0
25,kimi,9.34701,0,0,0
25,srd,9.14343,0,0.941266,0.91996
25,srd_f,9.41128,0,0.919374,0.920037
50,exact,9.10817,0,0,0
50,kimi,9.14998,0,0,0
50,srd,9.08614,0,0.92987,0.878683
50,srd_f,8.69362,0,0.898536,0.899166
75,exact,5.92382,0,0,0
75,kimi,8.56942,0,0,0
75,srd,5.39133,0,0.947525,0.852249
75,srd_f,5.51084,0,0.907815,0.907828
100,exact,5.26491,0,0,0
100,kimi,5.19955,0,0,0
100,srd,5.32869,0,0.955732,0.622093
100,srd_f,5.63307,0,0.877842,0.876895
125,exact,4.95537,0.09375,0,0
125,kimi,5.04047,0.0625,0,0
125,srd,5.06334,0,0.953167,0.460672
125,srd_f,5.11236,0,0.86755,0.865525
150,exact,5.05793,0,0,0
150,kimi,5.63146,0,0,0
150,srd,5.04986,0,0.953249,0.399486
150,srd_f,4.93287,0,0.845414,0.850916
175,exact,5.13079,0,0,0
175,kimi,5.29534,0,0,0
175,srd,5.25194,0,0.951346,0.344576
175,srd_f,5.10997,0,0.879332,0.877266
200,exact,4.90056,0.03125,0,0
200,kimi,4.61935,0.0625,0,0
200,srd,4.93902,0.0625,0.951033,0.429563
200,srd_f,4.96677,0,0.845338,0.842486
225,exact,4.67604,0.03125,0,0
225,kimi,4.44207,0.0625,0,0
225,srd,4.97575,0,0.950184,0.330158
225,srd_f,4.8525,0.0625,0.825264,0.830933
250,exact,4.94713,0,0,0
250,kimi,4.85388,0,0,0
250,srd,5.21084,0,0.943533,0.345352
250,srd_f,5.11501,0,0.824184,0.822224
275,exact,4.58016,0,0,0
275,kimi,4.67294,0,0,0
275,srd,5.16415,0,0.943173,0.314452
275,srd_f,5.10306,0,0.820363,0.816903
300,exact,4.72172,0,0,0
300,kimi,4.55935,0,0,0
300,srd,5.13929,0,0.941256,0.301195
300,srd_f,5.0412,0,0.808334,0.810862
325,exact,4.72912,0,0,0
325,kimi,4.84606,0,0,0
325,srd,5.17028,0,0.937679,0.321614
325,srd_f,5.15827,0,0.831248,0.834726
350,exact,4.52893,0,0,0
350,kimi,4.62662,0,0,0
350,srd,5.10548,0,0.937263,0.325767
350,srd_f,5.13649,0,0.816089,0.81085
375,exact,4.37805,0,0,0
375,kimi,4.45246,0,0,0
375,srd,4.98245,0.0625,0.933581,0.304945
375,srd_f,4.91441,0.03125,0.803792,0.803721
400,exact,4.82122,0.03125,0,0
400,kimi,4.51639,0.03125,0,0
400,srd,4.95515,0,0.931855,0.349515
400,srd_f,4.71245,0,0.805228,0.803923
425,exact,4.48625,0,0,0
425,kimi,4.5821,0,0,0
425,srd,4.96807,0,0.927714,0.316845
425,srd_f,4.74997,0,0.800095,0.795766
450,exact,4.32205,0,0,0
450,kimi,4.34341,0,0,0
450,srd,4.80649,0,0.926988,0.305955
450,srd_f,4.34702,0,0.784524,0.77966
475,exact,4.61435,0.03125,0,0
475,kimi,4.67332,0.03125,0,0
475,srd,4.59286,0,0.913229,0.350955
475,srd_f,4.59249,0.03125,0.776864,0.770572
500,exact,4.29999,0.03125,0,0
500,kimi,4.34669,0,0,0
500,srd,4.33822,0.0625,0.913019,0.488216
500,srd_f,4.38976,0.03125,0.760793,0.753158
525,exact,4.09907,0.03125,0,0
525,kimi,4.11973,0,0,0
525,srd,4.08693,0,0.909907,0.36377
525,srd_f,4.90176,0.03125,0.764816,0.764444
550,exact,4.51959,0,0,0
550,kimi,4.45661,0,0,0
550,srd,4.55252,0,0.918485,0.325583
550,srd_f,4.5088,0,0.732002,0.732713
575,exact,4.50423,0.0625,0,0
575,kimi,4.48213,0.0625,0,0
575,srd,4.49104,0.0625,0.919697,0.311196
575,srd_f,4.52795,0.0625,0.7431,0.742096
600,exact,4.54685,0,0,0
600,kimi,4.54335,0,0,0
600,srd,4.55241,0,0.916951,0.299955
600,srd_f,4.4888,0.0625,0.81991,0.821799
