step,lane,answer_ce,answer_acc,tail_gate,fill_gate
25,exact,3.11584,0.03125,0,0
25,kimi,2.79899,0.03125,0,0
25,srd,2.98554,0.03125,0.939777,0.923883
25,srd_f,2.96113,0.03125,0.916249,0.921846
50,exact,2.381,0.09375,0,0
50,kimi,2.28028,0.09375,0,0
50,srd,2.36277,0.09375,0.939357,0.881315
50,srd_f,2.49956,0.09375,0.892544,0.890184
75,exact,2.13558,0.125,0,0
75,kimi,2.10801,0.125,0,0
75,srd,2.12567,0.125,0.930663,0.819807
75,srd_f,2.14699,0.125,0.871972,0.873216
100,exact,2.23796,0.125,0,0
100,kimi,2.21484,0.09375,0,0
100,srd,2.23374,0.125,0.90854,0.748911
100,srd_f,2.25783,0.125,0.84184,0.852051
125,exact,2.14074,0.125,0,0
125,kimi,2.08339,0.1875,0,0
125,srd,2.09002,0.1875,0.869549,0.660314
125,srd_f,2.08774,0.21875,0.834238,0.837824
150,exact,2.20179,0.125,0,0
150,kimi,2.19077,0.125,0,0
150,srd,2.19302,0.125,0.813812,0.559887
150,srd_f,2.19617,0.125,0.802946,0.813043
175,exact,2.10127,0.09375,0,0
175,kimi,2.09565,0.09375,0,0
175,srd,2.09456,0.09375,0.773323,0.462332
175,srd_f,2.10239,0.09375,0.786286,0.795517
200,exact,2.16023,0.15625,0,0
200,kimi,2.16675,0.15625,0,0
200,srd,2.1743,0.15625,0.748875,0.388741
200,srd_f,2.15354,0.15625,0.78058,0.786755
225,exact,2.15846,0.15625,0,0
225,kimi,2.1564,0.15625,0,0
225,srd,2.15439,0.15625,0.721032,0.344264
225,srd_f,2.15755,0.15625,0.782062,0.778074
250,exact,2.03996,0.21875,0,0
250,kimi,2.03896,0.21875,0,0
250,srd,2.04305,0.21875,0.698902,0.320375
250,srd_f,2.02789,0.21875,0.769484,0.771448
275,exact,2.07584,0.1875,0,0
275,kimi,2.07193,0.1875,0,0
275,srd,2.07711,0.1875,0.699682,0.309886
275,srd_f,2.05298,0.1875,0.779721,0.765238
300,exact,2.2384,0.15625,0,0
300,kimi,2.23319,0.15625,0,0
300,srd,2.22862,0.15625,0.675355,0.298811
300,srd_f,2.21274,0.15625,0.761624,0.760905
325,exact,2.18607,0.03125,0,0
325,kimi,2.20024,0.03125,0,0
325,srd,2.18742,0.03125,0.658882,0.295923
325,srd_f,2.17668,0.03125,0.747818,0.755568
350,exact,2.09801,0.0625,0,0
350,kimi,2.10398,0.0625,0,0
350,srd,2.09601,0.0625,0.640655,0.295361
350,srd_f,2.08735,0.0625,0.75314,0.748596
375,exact,2.13473,0.15625,0,0
375,kimi,2.13317,0.15625,0,0
375,srd,2.13368,0.15625,0.627072,0.291304
375,srd_f,2.09751,0.15625,0.757471,0.747818
400,exact,2.24992,0.09375,0,0
400,kimi,2.25242,0.09375,0,0
400,srd,2.24607,0.09375,0.615415,0.289017
400,srd_f,2.23865,0.09375,0.75422,0.743727
425,exact,2.01762,0.1875,0,0
425,kimi,2.01646,0.1875,0,0
425,srd,2.01625,0.1875,0.603427,0.28964
425,srd_f,2.00799,0.34375,0.756408,0.739004
450,exact,2.26045,0.0625,0,0
450,kimi,2.25713,0.0625,0,0
450,srd,2.26381,0.0625,0.63189,0.29014
450,srd_f,2.22682,0.125,0.735711,0.74072
475,exact,2.13428,0.125,0,0
475,kimi,2.12978,0.125,0,0
475,srd,2.13396,0.125,0.590598,0.28634
475,srd_f,2.16202,0.15625,0.789057,0.78355
500,exact,2.15473,0.0625,0,0
500,kimi,2.15662,0.0625,0,0
500,srd,2.16148,0.0625,0.583847,0.287767
500,srd_f,2.29132,0.0625,0.806473,0.810118
525,exact,2.18033,0.15625,0,0
525,kimi,2.17708,0.15625,0,0
525,srd,2.1833,0.15625,0.578039,0.286896
525,srd_f,2.19246,0.15625,0.75038,0.746748
550,exact,2.06498,0.1875,0,0
550,kimi,2.06346,0.1875,0,0
550,srd,2.06473,0.1875,0.573549,0.286711
550,srd_f,2.07575,0.1875,0.781493,0.78481
575,exact,2.23302,0.15625,0,0
575,kimi,2.23132,0.15625,0,0
575,srd,2.236,0.15625,0.566948,0.285645
575,srd_f,2.2567,0.1875,0.712764,0.703654
600,exact,2.08851,0.21875,0,0
600,kimi,2.08193,0.1875,0,0
600,srd,2.08701,0.21875,0.559274,0.285548
600,srd_f,2.0987,0.21875,0.682315,0.669854
625,exact,2.18045,0.125,0,0
625,kimi,2.19129,0.125,0,0
625,srd,2.18543,0.125,0.574574,0.425836
625,srd_f,2.17713,0.125,0.666117,0.655349
650,exact,2.08793,0.21875,0,0
650,kimi,2.08272,0.21875,0,0
650,srd,2.08759,0.21875,0.949997,0.927602
650,srd_f,2.08357,0.28125,0.651473,0.64388
675,exact,2.1369,0.09375,0,0
675,kimi,2.13525,0.09375,0,0
675,srd,2.17368,0.0625,0.887602,0.885955
675,srd_f,2.12124,0.09375,0.630603,0.63964
700,exact,2.09786,0.03125,0,0
