step,exact,kimi,srd,srd_f
1,5.58444,5.58551,5.58451,5.58451
2,5.48257,5.48087,5.48209,5.48207
3,5.30513,5.3061,5.3053,5.30532
4,5.23105,5.23006,5.23125,5.23135
5,5.15245,5.14499,5.15206,5.152
6,5.09313,5.09046,5.09474,5.09526
7,5.02105,5.02322,5.0213,5.0216
8,4.97526,4.97703,4.9746,4.9747
9,4.96364,4.94898,4.96742,4.96744
10,4.82133,4.95285,4.81964,4.82077
11,4.83101,4.83626,4.82974,4.83018
12,4.81459,4.87247,4.80945,4.81048
13,4.75075,4.76996,4.74267,4.74469
14,4.67878,4.67556,4.66819,4.67012
15,4.72045,4.73629,4.73396,4.73607
16,4.65475,4.67343,4.65496,4.65758
17,4.64242,4.65197,4.63989,4.64094
18,4.53994,4.54692,4.53958,4.54149
19,4.5974,4.61171,4.59944,4.59733
20,4.58126,4.58082,4.58231,4.58466
21,4.59773,4.58002,4.59973,4.59955
22,4.55169,4.55691,4.54415,4.5472
23,4.54538,4.55352,4.54339,4.54485
24,4.57571,4.57897,4.57551,4.57601
25,4.55052,4.54015,4.55159,4.55287
26,4.56717,4.56346,4.56701,4.56815
27,4.5736,4.58592,4.57244,4.57356
28,4.51935,4.51511,4.52042,4.52122
29,4.53655,4.53746,4.534,4.53515
30,4.51845,4.51666,4.52012,4.51876
31,4.56383,4.57265,4.5621,4.56214
32,4.52995,4.53048,4.52942,4.53096
33,4.53303,4.53734,4.53046,4.53192
34,4.54221,4.53749,4.54334,4.54403
35,4.52153,4.51989,4.52047,4.52173
36,4.55142,4.55255,4.54809,4.55156
37,4.52514,4.52363,4.5249,4.52704
38,4.55898,4.55993,4.55742,4.55983
39,4.53744,4.52993,4.53353,4.53682
40,4.52367,4.52677,4.52161,4.52256
41,4.48553,4.48265,4.48751,4.48723
42,4.52993,4.52679,4.52844,4.52868
43,4.49804,4.49807,4.49936,4.49809
44,4.53046,4.53034,4.53325,4.53128
45,4.51499,4.51675,4.51301,4.51483
46,4.49343,4.49413,4.49477,4.49346
47,4.54286,4.54474,4.54236,4.54204
48,4.47594,4.4786,4.47558,4.47658
49,4.49107,4.48967,4.48867,4.49047
50,4.52232,4.52569,4.52285,4.52497
51,4.53595,4.53482,4.5365,4.53399
52,4.56735,4.56568,4.57032,4.56726
53,4.53039,4.52752,4.53311,4.52989
54,4.55892,4.55461,4.55835,4.55774
55,4.50614,4.50071,4.50596,4.50789
56,4.48959,4.48674,4.49099,4.49763
