step,exact,kimi,srd,srd_f
1,5.53444,5.53597,5.53451,5.53451
2,5.44712,5.45056,5.44731,5.44731
3,5.33066,5.34112,5.33089,5.33091
4,5.24019,5.24585,5.24021,5.24021
5,5.21164,5.21445,5.21191,5.21192
6,5.13276,5.1156,5.13245,5.13236
7,5.10808,5.08536,5.1067,5.10635
8,5.0808,5.15175,5.08244,5.08303
9,4.98327,5.03496,4.98286,4.98305
10,5.0591,5.04554,5.05482,5.05464
11,4.96227,4.98396,4.9636,4.96413
12,4.9287,4.921,4.92217,4.92264
13,4.90151,4.90638,4.90161,4.9022
14,4.95226,4.93437,4.93066,4.93212
15,4.92527,4.90847,4.92436,4.92435
16,4.9185,4.9224,4.9192,4.91885
17,4.91064,4.91234,4.89921,4.90991
18,4.91302,4.90875,4.92566,4.91905
19,4.939,4.93933,4.95514,4.93911
20,4.89492,4.89336,4.98254,4.89254
21,4.89914,4.91769,5.04001,4.90177
22,4.90473,4.94627,4.96837,4.90539
23,4.91131,4.90394,4.96798,4.89496
24,4.91279,4.917,5.02131,4.91549
25,4.91685,4.9113,4.94647,4.91898
26,4.91752,4.92075,4.988,4.91799
27,4.90671,4.89789,4.99,4.9027
28,4.91847,4.95977,4.99967,4.91938
29,4.93856,4.94615,5.00514,4.94151
30,4.86654,4.86534,4.94936,4.8916
31,4.9162,4.91277,5.01479,4.9165
32,4.88371,4.88822,4.95379,5.00979
33,4.86737,4.8753,4.93415,5.0336
34,4.93698,4.93879,5.00749,4.97803
35,4.933,4.93445,4.99262,4.97158
36,4.9637,4.95697,5.05269,4.97794
37,4.87002,4.86026,4.91444,4.89255
38,4.8693,4.84993,4.904,4.84383
39,4.91216,4.91318,4.92984,4.97237
40,4.88546,4.90619,4.92441,4.91506
41,4.90823,4.91258,4.92839,4.95207
42,4.89918,4.8939,4.93267,4.91886
43,4.90086,4.89128,4.93031,4.92432
44,4.90645,4.90409,4.9416,4.99967
45,4.8909,4.8696,4.88602,4.90731
46,4.88847,4.88983,4.8924,4.95832
47,4.90741,4.90655,4.92517,4.95055
48,4.9221,4.91717,4.93909,4.95296
49,4.91381,4.89245,4.87325,4.92631
50,4.955,4.93142,4.9297,4.94986
51,4.9404,4.89268,4.88548,4.91082
52,4.9313,5.01645,5.00167,4.92842
53,4.90049,5.01224,4.89519,4.9148
54,4.88156,4.87965,4.8762,4.90139
55,5.02431,4.89435,4.92444,4.90473
56,4.91436,4.88161,4.88363,4.91022
57,4.90291,4.89258,4.87762,4.89286
58,4.95889,4.92612,4.91615,4.9285
59,4.89857,4.88681,4.88713,4.89719
60,4.88878,4.87973,4.86498,4.87609
61,4.9228,4.87925,4.87879,4.85567
62,4.92659,4.89513,4.90046,4.88206
63,4.89904,4.86755,4.87064,4.87737
64,4.89151,4.89063,4.89237,4.8852
65,4.87937,4.88,4.8823,4.90268
66,4.90388,4.87876,4.87231,4.88305
