step,exact,kimi,srd,srd_f,srd_gate,srdf_gate
1,9.74828,9.78072,9.74982,9.74982,0.951865,0.951865
2,8.70054,8.77239,8.70002,8.69993,0.952094,0.951778
3,9.56842,9.58535,9.56835,9.56835,0.950893,0.950608
4,9.21841,9.2323,9.21826,9.21827,0.94876,0.948282
5,8.9379,8.95429,8.93802,8.93806,0.944853,0.944237
6,8.75361,8.77136,8.75346,8.75349,0.938195,0.937256
7,8.26281,8.29659,8.26312,8.2632,0.926618,0.925313
8,7.79904,7.82898,7.79992,7.80003,0.906911,0.905462
9,7.32268,7.35151,7.32336,7.32349,0.876762,0.875746
10,7.4586,7.48643,7.45782,7.45797,0.835764,0.836687
11,6.8074,6.82285,6.80556,6.80581,0.791365,0.794716
12,4.74303,4.76707,4.73934,4.74044,0.757747,0.758863
13,6.93492,6.93636,6.93535,6.93501,0.756249,0.760105
14,7.07306,7.06307,7.07413,7.07343,0.74459,0.750919
15,6.81482,6.80113,6.81843,6.81653,0.724713,0.735031
16,6.50987,6.50427,6.51538,6.51263,0.707793,0.721069
17,5.93489,5.95376,5.94152,5.9385,0.700661,0.712991
18,6.48918,6.4949,6.4993,6.49285,0.711583,0.725662
19,7.20624,7.22041,7.23112,7.21574,0.7189,0.741943
20,6.00536,6.25398,6.01737,6.00895,0.748226,0.786773
21,7.67165,5.70023,5.86409,6.17045,0.813378,0.858628
22,6.69674,6.51406,6.49458,6.52677,0.794545,0.82467
23,6.71011,6.70621,6.67837,6.7118,0.762588,0.7815
24,7.26365,7.22013,7.27396,7.26222,0.745139,0.75419
25,5.85975,5.79014,5.78124,5.76862,0.732811,0.743064
26,6.04612,5.95979,6.03728,6.01287,0.725792,0.746044
27,4.16117,3.94989,4.1216,4.1245,0.721779,0.754084
28,6.04941,6.07128,6.04758,6.02383,0.817528,0.843598
29,6.50972,6.59079,6.51894,6.46924,0.849656,0.877627
30,5.94636,5.99666,5.96266,5.90919,0.838428,0.875836
31,6.76148,6.85164,6.79324,6.72333,0.805534,0.859477
32,6.59376,6.55793,6.55294,6.51366,0.753972,0.819224
33,5.69341,5.639,5.66262,5.63193,0.7133,0.763262
34,5.98459,5.88417,5.88222,5.92579,0.761449,0.76697
35,7.34545,7.37788,7.34707,7.31676,0.799114,0.792374
36,5.2799,5.23714,5.27543,5.32479,0.8293,0.818673
37,6.32519,6.29148,6.33794,6.29851,0.81995,0.818737
38,4.51238,4.37328,4.4507,4.42657,0.775888,0.784568
39,5.8856,5.81692,5.94706,5.84985,0.794198,0.804216
40,6.11137,6.01623,6.07793,6.126,0.769255,0.788042
41,6.61313,6.58918,6.74181,6.63301,0.741977,0.764226
42,5.39394,5.44681,6.29055,5.35066,0.726819,0.726467
