step,exact,kimi,srd,srd_f,srd_gate,srdf_gate
1,8.34223,8.34502,8.34234,8.34234,0.951911,0.951911
2,7.91799,7.93512,7.91905,7.91911,0.951701,0.95171
3,7.58227,7.59865,7.58203,7.58203,0.950435,0.950461
4,7.23116,7.23855,7.23029,7.23023,0.948364,0.948413
5,7.2323,7.23692,7.23066,7.23068,0.944738,0.944792
6,6.72611,6.73855,6.7252,6.72524,0.938428,0.938593
7,6.59944,6.60311,6.59767,6.59771,0.928366,0.928604
8,6.07898,6.08656,6.0775,6.07754,0.911625,0.912156
9,6.23522,6.2414,6.23477,6.23481,0.886312,0.887341
10,5.54424,5.55217,5.54396,5.54404,0.849554,0.852143
11,5.62547,5.62621,5.62487,5.62491,0.803362,0.808657
12,5.58027,5.58106,5.57984,5.58205,0.824116,0.85121
13,5.77513,5.77086,5.77592,5.77599,0.744834,0.780901
14,5.42661,5.42675,5.42533,5.42615,0.739792,0.783706
15,5.77972,5.7884,5.78317,5.78173,0.741686,0.789664
16,5.45124,5.45102,5.45172,5.4537,0.760392,0.807644
17,5.5281,5.49287,5.49829,5.48967,0.75549,0.824202
18,5.74104,5.72083,5.72954,6.86957,0.743126,0.831541
19,5.18558,5.17894,5.23381,8.33189,0.764248,0.857732
20,5.50575,5.5128,5.49065,7.66868,0.786405,0.88018
21,5.44236,5.44762,5.86234,6.39771,0.811495,0.873252
22,5.85463,6.59548,5.67507,5.77789,0.779643,0.825471
23,5.90501,5.83221,5.79318,5.87074,0.769514,0.860526
24,6.04718,5.81933,5.77489,5.77756,0.785396,0.889271
25,5.43411,5.48578,5.3952,5.38439,0.726055,0.884139
26,5.47011,5.41083,5.3867,5.40518,0.707646,0.860157
27,4.52371,4.52316,4.43744,4.48562,0.747769,0.850838
28,5.53731,5.40474,5.51833,5.44536,0.766449,0.835349
29,5.75801,5.68159,5.82225,5.75429,0.798496,0.843542
30,3.82925,3.77611,3.71532,3.87552,0.829191,0.837871
31,5.4416,5.39214,5.37266,5.53805,0.837444,0.873093
32,5.37343,5.49657,5.52371,5.53623,0.839746,0.850075
33,5.48998,5.54524,5.46026,5.66215,0.848307,0.870767
34,5.18012,5.13084,5.26329,5.36695,0.882697,0.868019
35,5.29046,5.39436,5.53465,5.42122,0.859394,0.822906
36,5.54309,5.53274,5.5165,5.59509,0.845619,0.82771
37,5.09297,5.14123,5.13317,5.15059,0.856472,0.816204
38,5.49828,5.52525,5.5603,5.59295,0.851904,0.829091
39,5.32273,5.35163,5.31276,5.41917,0.858985,0.826927
40,5.64986,5.58799,5.60426,5.66302,0.869765,0.820761
41,5.28585,5.17251,5.20069,5.22472,0.867186,0.813457
42,5.37353,5.28464,5.40092,5.40283,0.830187,0.794275
43,5.28735,5.25022,5.2869,5.39748,0.84394,0.786465
44,5.28898,5.11534,5.30017,5.23583,0.842636,0.764505
45,5.43462,5.46772,5.42816,5.50704,0.830435,0.757302
46,4.69646,4.71928,4.69457,4.67958,0.803818,0.741626
47,5.53087,5.40638,5.45864,5.44894,0.806731,0.752865
48,5.0404,4.98195,5.00332,5.06509,0.784154,0.736123
49,5.32261,5.31015,5.30351,5.32817,0.786824,0.730148
50,4.90721,4.90299,4.84926,4.86403,0.775365,0.701379
51,5.25505,5.19423,5.26583,5.29745,0.766934,0.701972
52,5.29986,5.38103,5.27191,5.40236,0.787849,0.713305
53,5.45176,5.32133,5.30824,5.40649,0.767314,0.697428
54,4.36265,4.41787,4.33629,4.33622,0.738841,0.685165
55,5.46825,5.56286,5.42028,5.46067,0.741304,0.689175
56,5.07638,5.05505,5.03489,5.14078,0.729292,0.684521
57,5.55055,5.60625,5.5713,5.73077,0.738905,0.678023
58,5.17388,5.16298,5.12105,5.18843,0.714938,0.670405
59,4.39871,4.34123,4.37585,4.44108,0.717618,0.669142
60,4.57588,4.65989,4.62298,4.65685,0.718503,0.671406
61,5.27284,5.331,5.312,5.36938,0.729755,0.672867
62,4.89568,4.82619,4.92704,4.95017,0.772346,0.683224
63,4.74226,4.72197,4.66899,4.63334,0.734457,0.628392
64,5.30578,5.32695,5.39001,5.44163,0.729766,0.632334
65,5.78654,5.65719,5.78866,5.79357,0.728914,0.636069
66,5.34701,5.27681,5.33149,5.43604,0.722279,0.654498
67,5.24393,5.23521,5.22008,5.30202,0.733977,0.655781
68,5.22566,5.2429,5.26027,5.32136,0.747427,0.666349
69,5.16555,5.15541,5.1894,5.23705,0.739461,0.645823
70,5.19308,5.18821,5.20964,5.28423,0.743134,0.646855
71,4.75764,4.66671,4.76643,4.83153,0.730355,0.639995
72,5.54592,5.53193,5.56347,5.58559,0.72829,0.657944
73,5.36216,5.35244,5.31436,5.4852,0.746235,0.672174
74,5.1037,5.04756,5.08101,5.18441,0.748787,0.674082
75,5.24589,5.20772,5.38208,5.3405,0.770338,0.659515
76,5.03112,4.96948,5.04143,5.09398,0.759555,0.641345
77,5.31136,5.26538,5.25102,5.32809,0.747667,0.636394
78,5.54726,5.48561,5.57091,5.61193,0.719711,0.655832
79,4.62094,4.54608,4.6043,4.68031,0.692439,0.652532
80,4.97287,4.89317,4.94653,5.02872,0.699082,0.645417
81,5.19927,5.14917,5.15514,5.26608,0.690779,0.659665
82,5.09878,5.05891,5.00341,5.17014,0.687796,0.66094
83,5.43107,5.39644,5.36245,5.48441,0.691633,0.692648
84,4.98747,4.94839,4.96394,5.00306,0.681098,0.660062
85,5.52004,5.52192,5.54461,5.60904,0.690923,0.692167
86,5.26077,5.20696,5.16418,5.36055,0.692307,0.705986
87,5.20956,5.17124,5.22235,5.29495,0.680807,0.684656
88,5.04126,5.00573,5.00484,5.19452,0.680227,0.696377
89,5.005,5.00225,5.00848,5.14214,0.676968,0.691923
90,4.97396,4.92829,4.97889,5.01811,0.675814,0.686911
91,4.05066,3.9526,3.93532,4.01799,0.667864,0.683992
92,4.44298,4.45066,4.42309,4.58378,0.685726,0.680587
93,4.92413,4.79656,4.8908,4.92752,0.672045,0.707209
94,5.13899,5.10445,5.16249,5.24442,0.690618,0.679416
95,5.43366,5.4101,5.38597,5.56103,0.701098,0.697449
96,5.1461,5.11605,5.16286,5.22957,0.697993,0.722939
97,5.40937,5.34012,5.40548,5.43919,0.690728,0.726957
98,3.98599,3.92071,4.07884,3.9604,0.674421,0.683568
99,5.13132,5.17111,5.21056,5.2135,0.69555,0.712801
100,5.07983,5.03034,5.13402,5.09983,0.685363,0.693293
101,5.57826,5.50529,5.58357,5.58899,0.679731,0.695439
102,5.04649,4.97726,4.95864,5.13587,0.6841,0.68849
103,5.06366,4.95901,5.00641,5.06463,0.684517,0.697108
104,5.18413,5.11001,5.17841,5.18048,0.690997,0.677921
105,4.75501,4.7063,4.79481,4.8553,0.686651,0.652038
106,5.15256,5.01115,5.18318,5.17845,0.673131,0.652441
107,4.95767,4.93202,4.98748,4.96562,0.667374,0.644156
108,5.14047,5.02003,5.10997,5.20038,0.676078,0.658319
109,4.75158,4.76018,4.81066,4.81804,0.681468,0.644395
110,5.11841,5.0116,5.08329,5.11507,0.691542,0.661364
111,5.12151,5.06147,5.15594,5.2098,0.69194,0.6578
112,4.79483,4.6965,4.80689,4.93118,0.678223,0.679169
113,4.86766,4.73072,4.75039,4.85072,0.668903,0.648014
114,5.15333,5.05045,5.07496,5.1763,0.68288,0.658769
115,5.56018,5.43608,5.50895,5.55039,0.675479,0.679307
